上	IdA.IdA	i:ida
当	KoXb.KoXb	kx:koxb
同	Ld.Ld	ld
很	OiXo.OiXo	oxo:oixo
生	Mc.Mc	mc:wzmc
五	BiX .BiX	bx:bix
十	Ed.Ed	ed
即	XoY.XoY	xy:xoy
只	JO.JO	jo:jovv
级	ZYMS.ZYMS	zym:zyms
帖	LiIdJ.LiIJ	liij
把	DYia.DYia	dy:dyi:dyia
而	Gl.Gl	gl
方	Sy.Sy	sy
说	SUdJRd.SUJR	s:sujr
路	JiRsJ.JiRJ	jr:jirj
先	MbRd.MbRd	mr:mrd:mbrd
入	Oda.Oda	oda
水	Kv.Kv	kv
见	Lr.Lr	lr:lra
传	NBdZS.NBZS	nb:nbz:nbzs
并	UaE.UaE	ue:uae
过	WDs.WDs	dsw:wds
相	FL.FL	fl:flv:flvv
使	NAJOs.NAJO	na:najo
服	QYXs.QYXs	qyx:qyxs
万	AYm.AYm	ay:aym
又	Xs.Xs	xs
力	Ym.Ym	ym
着	UcL.UcL	ul:ucl
成	HmY.HmY	h:hmy
量	KAKB.KAKB	kak:kakb
进	WBdNd.WBNd	bnw:wbn:bdnw:wbnd
该	SSZOd.SSZO	ss:ssz:sszo
美	UcGd.UcGd	ugd:ucgd
备	RsKi.RsKi	rki:rski
外	RsId.RsId	ri:rsid
住	NSC.NSC	nsc
低	NRhS.NRS	nrs
去	BZs.BZs	bzs
让	Si.Si	si:sia:siv
字	WdYa.WdYa	wya:wdya
离	SOsZiLdZs.SOLZ	sol:solz
像	NRJGq.NRJG	nrj:nrjg
它	WdRr.WdRr	wrr:wrz:wdrr
两	ALdOdOd.ALOO	al:aloo
向	NlJ.NlJ	nlj
从	OdOd.OdOd	oo:ood:odod
华	NRrEd.NREd	nre:nred
化	NRr.NRr	nr:nrr
商	SULd.SULd	sul:suld
秒	MfKoM.MfKM	mkm:mfkm
文	So.So	so
听	JPd.JPd	jp:jpd
原	GgNkKo.GgNK	gn:gnk:ggnk
百	ANk.ANk	an:ank
但	NKA.NKA	nka
篇	MWmLd.MWLd	mwl:mwld
放	SyMo.SyMo	sm:smo:symo
局	XmYJ.XmYJ	xyj:xmyj
吧	JYia.JYia	jyi:jyia
顶	AiGo.AiGo	ago:aigo
光	KoGr.KoGr	kg:kgz:kogr
如	ZmJ.ZmJ	zj:zmj
起	BoYyb.BoYy	boy:byy:boyy
买	XTdGd.XTGd	xt:xtg:xtgd
库	TgHe.TgHe	tgh:tghe
道	WUaNl.WUNl	wu:wun:uanw:wunl
里	KB.KB	kb:kbv:kbvv
器	JJGdSJJ.JJJJ	jjg:jjjj
设	SQx.SQx	sq:sqx:sqxa
真	EdLcO.EdLO	el:edlo
六	SO.SO	sov:sovv
心	Wz.Wz	wz
张	YzCh.YzCh	yc:ych:yzch
条	RsF.RsF	rf:rsf
电	KZ.KZ	kz:kzv:kzvv
群	XmaJUc.XmaU	xu:xju:xmau
集	NiF.NiF	nif
店	TgIdJ.TgIJ	ti:tij:tgij
花	ENRr.ENRr	en:enr:enrr
事	DJXb.DJXb	dj:ajx:djx:djxb
時	KBDs.KBDs	kbd:kbds
林	FF.FF	ffv:ffvv
系	MZ.MZ	mzv:mzvv
才	DM.DM	dm:dmvv
场	BYOd.BYOd	byo:byod
房	WmSy.WmSy	ws:wms:wsy:wmsy
笑	MMGd.MMGd	mmg:mmgd
板	FPdXs.FPXs	fgx:fpx:fpxs
动	BdZsYm.BdZY	bz:bdzy
博	EdFbDs.EdFD	efd:edfd
爱	PvWwGdXs.PvGX	pwg:pvgx
工	Bi.Bi	bi
室	WdHb.WdHb	whb:wdhb
权	FXs.FXs	fx:fxs
円	LdIdA.LdIA	ldia
至	Hb.Hb	hb
问	TlJ.TlJ	tj:tlj
安	WdZm.WdZm	wdz:wdzm
按	DWdZm.DWZm	dw:dwzm
类	UfGd.UfGd	ug:ufgd
线	ZHm.ZHm	zhm
行	Oi.Oi	oi
国	JdCs.JdCs	jc:jdcs
法	VBZs.VBZs	vb:vbzs
应	TgVdA.TgVA	tv:tgva
度	TgEaXs.TgEX	t:tgex
通	WXsLd.WXLd	wxl:xlw:wxld:xslw
型	AEKdB.AEKB	aeb:aekb
吃	JMaYda.JMYd	jm:jmy:jmyd
啦	JDSu.JDSu	jdsu
男	KiYm.KiYm	kym:kiym
省	KoML.KoML	km:koml
均	BRyTd.BRTd	brt:brtd
科	MfTdEd.MfTE	mte:mfte
感	HmAJWz.HmJW	hw:haw:hmjw
机	FQd.FQd	fq:fqd
近	WPd.WPd	wp:pdw:wpd
带	EWwLi.EWLi	ew:ewli
歌	AiJAiJRo.AiJR	ajr:aijr
购	LoRyZs.LoRZ	lrz:lorz
超	BoYdJ.BoYJ	byj:boyj
子	Ya.Ya	ya
那	YBY.YBY	yb:yby
死	ARsRr.ARRr	ar:arr:arrr
社	WsB.WsB	wsb
项	BiGo.BiGo	bg:bgo:bigo
则	LoKd.LoKd	lok:lokd
物	MbRyOd.MbRO	mro:mbro
空	WoBi.WoBi	wbi:wobi
台	ZsJ.ZsJ	zsj
开	AE.AE	ae:aevv
見	Lr.Lr	lra
非	Kc.Kc	kc
頁	Go.Go	goa
拍	DNk.DNk	dnk
证	SAIi.SAIi	saii
搜	DNbXs.DNXs	dnx:dnxs
南	EdLd.EdLd	edl:edld
周	LdBJ.LdBJ	lbj:ldbj
短	MaAJUa.MaJU	maa:maju
宝	WdCs.WdCs	wcs:wdcs
啊	JYAiJ.JYAJ	jyaj
城	BHmY.BHY	bhv:bhy
节	EY.EY	ey:eyvv
收	ZiMo.ZiMo	zmo:zimo
装	TiBSRh.TiSR	tb:tbs:tisr
越	BoHmZ.BoHZ	bh:bhz:bohz
呢	JXmRr.JXRr	jxr:jxrr
送	WUaGd.WUGd	wug:uagw:wugd
词	SYAJ.SYAJ	sya:syaj
為	UdXYUo.UdYU	u:udyu
卡	IdAId.IdAI	iai:iid:idai
手	Md.Md	md
今	OdSX.OdSX	os:odsx
院	YWdBdRd.YWBR	ywb:ywbr
叫	JZi.JZi	jz:jzi
楼	FUfZm.FUZm	fuz:fuzm
没	VQx.VQx	v:vqx
八	O.O	oa
打	DAi.DAi	da:dai
处	RsId.RsId	rid:rsid
便	NAKOs.NAKO	nak:nako
岁	LlRs.LlRs	lrs:llrs
老	BmRr.BmRr	brr:bmrr
音	SuK.SuK	suk
別	JYmKd.JYKd	jykd
快	UXGd.UXGd	ux:uxg:uxgd
何	NAiJ.NAJ	naj
利	MfKd.MfKd	mkd:mfkd
式	HsBi.HsBi	hbi:hsbi
建	YXbBd.YXBd	yx:xbby:yxbd
登	XsAJUa.XsJU	xaj:xsju
取	CeXs.CeXs	cx:cxs:cexs
後	OiZZsRs.OiZR	ozz:oizr
经	ZXsBi.ZXBi	zx:zxbi
连	WHe.WHe	hew:whe
木	F.F	fa
随	YWGdQ.YWGQ	yw:ywg:ygqw:ywgq
办	YmO.YmO	yo:ymo
师	KdALd.KdAL	kal:kdal
款	BBkRo.BBRo	bb:bbr:bbro
套	GdCh.GdCh	gc:gch:gdch
形	AEPd.AEPd	aep:aepd
派	VPdRh.VPRh	vp:vpr:vprh
试	SHsBi.SHBi	shb:shbi
七	Hd.Hd	hd
学	VdWwYa.VdWY	vw:vdwy
哥	AiJAiJ.AiAJ	aja:aiaj
话	SMi.SMi	smi:smia
陈	YHdKo.YHKo	yhk:yhko
龙	Gm.Gm	gm
呀	JHi.JHi	jhi
夜	SNRs.SNRs	snr:snrs
单	UdKEd.UdKE	uk:udke
副	AJKiKd.AJKK	ajk:ajkk
星	KMc.KMc	kmc
达	WGd.WGd	gdw:wgd
声	BXm.BXm	bxm
付	NDs.NDs	nds
刘	SoKd.SoKd	skd:sokd
少	KoM.KoM	kom
正	AIi.AIi	aii
火	Uo.Uo	uo
员	JLo.JLo	jl:jlo
哦	JMdHm.JMHm	jmh:jmv:jmhm
共	EaO.EaO	eo:eao
卖	EdXTdGd.EdTG	ext:edtg
书	XYIdS.XYIS	xyis
作	NMaId.NMId	nmi:nmid
报	DYXs.DYXs	dyx:dyxs
间	TlK.TlK	tk:tlk
重	MeKB.MeKB	mk:mekb
海	VMaZy.VMZy	vm:vmz:vmzy
私	MfZs.MfZs	mzs:mfzs
信	NS.NS	ns:nsv:nsvv
玩	CBdRd.CBRd	cbr:cbrd
亿	NYda.NYda	nyd:nyda
格	FRsJ.FRJ	fr:frj
价	NOdNd.NONd	non:nond
免	RJRd.RJRd	rjrd
京	SJKo.SJKo	sjk:sjko
谁	SNi.SNi	sni:snia
运	WBdZs.WBZs	bzw:wbz:bdzw:wbzs
变	SkXs.SkXs	sx:skx:skxs
影	KSJKoPd.KSKP	ksj:ksp:kskp
强	YzJI.YzJI	yji:yzji
白	Nk.Nk	nk
合	OdAJ.OdAJ	oaj:odaj
期	EcQ.EcQ	eq:ecq
享	SJYa.SJYa	sjya
明	KQ.KQ	kq:kqv:kqvv
费	YzNdLo.YzNL	yn:ynl:yznl
西	Fj.Fj	fj
交	SOOs.SOOs	soo:soos
红	ZBi.ZBi	zb:zbi:zbia
受	PvWwXs.PvWX	pw:pwx:pvwx
仅	NXs.NXs	nxs
却	BZsY.BZY	bzy
帐	LiCh.LiCh	lch:lic:lich
程	MfJC.MfJC	mjc:mfjc
求	DVS.DVS	dv:aks:dvs
头	TdGd.TdGd	tgd:tdgd
她	ZmYi.ZmYi	zyi:zmyi
门	Tl.Tl	tl
夏	ANlRs.ANRs	anr:anrs
无	AGr.AGr	ag:agr
写	WwAZA.WwZA	waz:wwza
無	MaEaUo.MaEU	meu:maeu
值	NEdLc.NELc	nel:nelc
热	DQySUo.DQSU	dq:dqu:dqsu:dquo
编	ZWmLd.ZWLd	zw:zwl:zwld
千	Me.Me	me
树	FXsDs.FXDs	fxd:fxv:fxds
钱	PHm.PHm	ph:phm
品	JJJ.JJJ	jjj
层	XmBdZs.XmBZ	xb:xbz:xmbz
差	UcBi.UcBi	ubi:ucbi
請	SCiQ.SCQ	scq:scqa
需	FvGl.FvGl	fg:fvgl
率	SVZEd.SVZE	sv:svz:svze:szve
九	Qy.Qy	qy
目	L.L	la
區	HJJJ.HJJJ	hjj:hjjj
特	MbBDs.MbBD	mbd:mbbd
视	WsLr.WsLr	wlr:wslr
跳	JiVRd.JiVR	jv:jvr:jivr
土	B.B	ba
山	Ll.Ll	ll:boll
座	TgOdOdB.TgOB	tob:too:tgob
阿	YAiJ.YAJ	yaj
拉	DSu.DSu	dsu
拿	OdAJMd.OdJM	om:odjm
限	YXo.YXo	yxo
配	FdYy.FdYy	fyy:fdyy
李	FYa.FYa	fya
米	Uf.Uf	uf
佳	NBB.NBB	nbb
某	EbF.EbF	ebf
体	NFA.NFA	nfa
另	JYm.JYm	jy:jym
跟	JiXo.JiXo	jxo:jixo
风	QdOs.QdOs	qo:qos:qdos
情	UCiQ.UCQ	ucq
定	Wd.Wd	wd
片	Nx.Nx	nx
北	TiRr.TiRr	trr:trz:tirr
県	ZLKo.ZLKo	lzko:zlko
與	NbAZAIdO.NbIO	naz:nbio
展	XmEaH.XmEH	xe:xeh:xmeh
彩	PvFPd.PvFP	pfp:pvfp
置	LkEdLc.LkEL	le:lkel
鱼	R.R	ra:raa
们	NTl.NTl	nt:ntl
網	ZLd.ZLd	zld
代	NHs.NHs	nh:nhs
德	OiEdLkAWz.OiAW	oel:oiaw
留	RhYdKi.RhYK	rsy:rhyk
专	BdZS.BdZS	bs:bdzs
别	JYmKd.JYKd	jk:jyk:jykd
因	Jd.Jd	jd
會	OdALkK.OdLK	o:oal:odlk
深	VWWOF.VWOF	vwo:vwof
街	OiBB.OiBB	obb:oibb
供	NEaO.NEO	neo
常	KoWwJLi.KoJL	kw:kojl
暂	HePdK.HePK	hp:hpk:hepk
黑	LkBUo.LkBU	lb:lkbu
神	WsKic.WsKi	wki:wsk:wski
东	HdKo.HdKo	hko:hdko
讲	SBdNd.SBNd	sb:sbn:sbnd
愛	PvWwWzRs.PvWR	pww:pvwr
双	XsXs.XsXs	xsxs
增	BUdLkK.BULK	bu:bul:bulk
言	S.S	sa
料	UfTdEd.UfTE	ut:ute:ufte
杨	FYOd.FYOd	fyo:fyod
业	Ku.Ku	ku:kua
個	NJdEdJ.NJEJ	nje:njej
制	MbLdKd.MbLK	mlk:mblk
查	FKA.FKA	fk:fka
清	VCiQ.VCQ	vcq
蓝	EKdMLka.EKML	ekm:ekml
包	Ry.Ry	ry
口	J.J	ja
战	IdJHm.IdJH	ijh:idjh
早	KEd.KEd	ke:ked
飞	YdaTd.YdaT	ytd:ydat
必	WzM.WzM	wzm
谈	SUoUo.SUUo	suu:suuo
现	CLr.CLr	c:clr
番	PfKi.PfKi	pfki
身	Nc.Nc	nc
於	SyOdTd.SyOT	sot:syot
码	GX.GX	gxv:gxvv
压	GgBS.GgBS	gbs:ggbs
聘	CeKiaAZ.CeAZ	ck:ceaz
速	WFJ.WFJ	wf:fjw:wfj
排	DKc.DKc	dkc
易	KRyOd.KROd	kro:krod
源	VGgNkKo.VGNK	vgn:vgnk
访	SSy.SSy	ssy:ssya
远	WBdRd.WBRd	brw:wbr:bdrw:wbrd
药	EZRyS.EZRS	ezr:ezrs
古	EdJ.EdJ	edj
读	SEdXTdGd.SETG	sex:setg
联	CeUaGd.CeUG	cu:cug:ceug
杯	FGi.FGi	fgi
倒	NHbKd.NHKd	nhk:nhkd
务	RsYm.RsYm	rym:rsym
福	WsAJKi.WsJK	wsa:wsj:wsjk
接	DSuZm.DSZm	dsz:dszm
斯	EcPd.EcPd	ecp:epd:ecpd
堂	KoWwJB.KoJB	kwj:kojb
称	MfRKo.MfRK	mrk:mfrk
酒	VFd.VFd	vfd
怕	UNk.UNk	un:unk
游	VSyMaYa.VSMY	vsm:vsmy
令	OdW.OdW	ow:odw
难	XsNi.XsNi	xn:xsni
漫	VKLkXs.VKLX	vklx
走	Bo.Bo	bo
镇	PEdLcO.PELO	pe:pelo
教	BmYaMo.BmYM	bmm:bmy:bym:bmym
届	XmKia.XmKi	xki:xmki
公	OZs.OZs	ozs
帅	KdLi.KdLi	kli:kdli
黄	EaKiaO.EaKO	eko:eako
序	TgXsXI.TgXI	txx:tgxi
完	WdBdRd.WdBR	wb:wdbr
書	XbK.XbK	xbk
界	KiOdNd.KiON	kon:kion
敢	XCeMo.XCMo	xc:xcm:xcmo
步	IiKo.IiKo	iko:iiko
归	KdXb.KdXb	kxb:kdxb
翻	PfKiYtYt.PfYY	pk:pky:pfyy
钟	PJI.PJI	pji:pjv
港	VEaOYy.VEOY	ve:veoy
若	EGdJ.EGJ	eg:egj
儿	Rd.Rd	rd
車	Fk.Fk	fka
青	CiQ.CiQ	cq:ciq
券	UbYd.UbYd	uby:uyd:ubyd
标	FBk.FBk	fb:fbk
较	HeSOOs.HeOO	hso:heoo
份	NOYd.NOYd	no:noy:noyd
货	NRrLo.NRLo	nrl:nrlo
雨	Fv.Fv	fv
管	MWdY.MWY	mw:mwy
雪	FvXb.FvXb	fxb:fvxb
注	VSC.VSC	vsc
給	ZOdAJ.ZOAJ	zoa:zoaj
马	X.X	xa
初	WtYd.WtYd	wy:wyd:wtyd
掉	DIdKEd.DIKE	di:dik:dike
活	VMi.VMi	vmi
语	SBiX J.SBXJ	sbx:sbxj
箱	MFL.MFL	mfl
脸	QOdBdVd.QOBV	qob:qobv
封	BBDs.BBDs	bbd:bbds
降	YRsMb.YRMb	yrm:yrmb
場	BKARyOd.BKRO	bka:bkro
支	EdXs.EdXs	ex:edx:edxs
曾	UdLkK.UdLK	olk:ulk:udlk
帳	LiCh.LiCh	lic:lich
立	Su.Su	su
帮	CiYLi.CiYL	cy:cyl:ciyl
喝	JKRy.JKRy	jkr:jkry
指	DRrK.DRK	drk
気	MyOs.MyOs	myos
克	EdJRd.EdJR	ej:edjr
流	VSZsNd.VSZN	vs:vszn
尚	KoLd.KoLd	kld:kold
寄	WdGdAiJ.WdAJ	wga:wdaj
尾	XmMh.XmMh	xmh:xmmh
改	YyMo.YyMo	ymo:yymo
考	BmAZ.BmAZ	baz:bmaz
提	DKAIi.DKAI	dk:dkv:dkai
梦	FFRs.FFRs	ffr:ffrs
记	SYy.SYy	syy
班	CUC.CUC	cuc
诚	SHmY.SHY	shv:shy:shva
君	XmaJ.XmaJ	xj:xmj:xmaj
团	JdDM.JdDM	jdm:jddm
枚	FMo.FMo	fmo
精	UfCiQ.UfCQ	ufc:ufcq
县	LcZs.LcZs	lz:lzs:lczs
猪	QmBm.QmBm	qb:qbm:qmbm
据	DXmEdJ.DXEJ	dx:dxej
知	MaJ.MaJ	maj
助	LcYm.LcYm	ly:lym:lcym
引	YzI.YzI	yzi
號	JAZIh.JAZI	jaz:jazi
士	B.B	baa
足	Ji.Ji	ji
勿	RyOd.RyOd	rod:ryod
吴	JAGd.JAGd	jag:jagd
哪	JYdBdY.JYBY	jyb:jyby
极	FYMS.FYMS	fy:fyms
细	ZKi.ZKi	zk:zki
讯	SYEd.SYEd	sye:syed
假	NXbXXs.NXXX	nxb:nxxx
英	ELdGd.ELGd	elgd
解	RLdYdMb.RLYM	rly:rlym
些	IiRrBd.IiRB	ib:irb:iirb
奇	GdAiJ.GdAJ	gaj:gdaj
角	RLd.RLd	rl:rld:rlv
栏	FUaBd.FUBd	fubd
泰	CoKv.CoKv	ckv:cokv
線	ZNkKv.ZNKv	znk:znkv
环	CGi.CGi	cgi
誰	SNi.SNi	sni:snia
遇	WKLdZs.WKLZ	wkl:klzw:wklz
香	MfK.MfK	mfk
屋	XmHb.XmHb	xhb:xmhb
村	FDs.FDs	fds
秀	MfYM.MfYM	mym:mfym
圖	JdJSJdJ.JdJJ	jje:jjs:jdjj
校	FSOOs.FSOO	fs:fsoo
組	ZLc.ZLc	zlc
仍	NYM.NYM	ny:nym
稍	MfKoQ.MfKQ	mkq:mfkq
語	SBiX J.SBXJ	sbx:sbxj
半	Ub.Ub	ub
丝	ZZZZA.ZZZA	zza:zzza
布	GdLi.GdLi	gli:gdli
河	VAiJ.VAJ	va:vaj
話	SMi.SMi	smi:smia
边	WYm.WYm	wym:ymw
乐	RhKo.RhKo	rk:rhko
属	XmMILd.XmIL	xmi:xmil
眼	LXo.LXo	lx:lxo
順	NdGo.NdGo	ndgo
委	MfZm.MfZm	mfz:mfzm
權	FEJJNi.FEJN	fejn
段	NCQx.NCQx	ncq:ncqx
征	OiAIi.OiAI	oai:oiai
退	WXo.WXo	wxo:xow
微	OiLlAQdMo.OiQM	ola:oiqm
满	VEALdOdOd.VEOO	vea:veoo
户	Wm.Wm	wm:wma
曲	KKd.KKd	kk:kkd
酷	FdMbJ.FdMJ	fdmj
防	YSy.YSy	ys:ysy
反	PdXs.PdXs	px:pdxs
晚	KRJRd.KRJR	kr:krjr
窗	WoNjRs.WoNR	wnj:wnr:wonr
愿	GgNkKoWz.GgKW	gnw:ggkw
盘	PyLka.PyLk	plk:pylk
馆	OxWdY.OxWY	owy:oxw:oxwy
宽	WdELr.WdEL	we:wel:wdel
换	DRLdGd.DRLG	drl:drlg
农	WwRh.WwRh	wrh:wwrh
象	RJGq.RJGq	rjg:rjgq
來	FOdOd.FOOd	foo:food
哈	JOdAJ.JOAJ	joa:joaj
弄	CE.CE	cev:cevv
讓	SSJJEbRh.SSER	ssj:sser
石	G.G	ga
纯	ZHdZi.ZHZi	zh:zhz:zhzi
說	SOJRd.SOJR	sojr:sujr
算	MLE.MLE	mle
還	WLkAJRh.WLJR	lkrw:wljr
伊	NXma.NXma	nxm:nxma
對	KuUcDs.KuUD	kud:kuud
毫	SJWwMh.SJWM	sjwm
块	BXGd.BXGd	bxgd
左	GdBi.GdBi	gb:gbi:gdbi
氏	Rh.Rh	rh
课	SKF.SKF	skf
整	FJMoAIi.FJAI	fm:fjm:fjai
除	YOdMf.YOMf	yom:yomf
似	NZsOd.NZOd	nz:nzo:nzod
广	Tg.Tg	tg:tga
往	OiSC.OiSC	osc:oisc
朝	EdKEdQ.EdEQ	ek:edeq
责	CiLo.CiLo	clo:cilo
波	VXi.VXi	vxi
牛	Mb.Mb	mb
妹	ZmBdKo.ZmBK	zbk:zmbk
湖	VEdJQ.VEJQ	vq:vejq
狗	QmRyJ.QmRJ	qmrj
尽	XmSTd.XmST	xst:xmst
從	OiOdOdIi.OiOI	oioi
數	KjZmMo.KjZM	kjzm
票	FjBk.FjBk	fjb:fjbk
约	ZRyS.ZRS	zrs:zrsa
間	XdK.XdK	xdk
具	LcO.LcO	lco
句	RyJ.RyJ	ryj
售	NiJ.NiJ	nij
思	KiWz.KiWz	kiw:kiwz
错	PEaK.PEK	pek:peka
划	HmKd.HmKd	hkd:hmkd
厂	Gg.Gg	gg
屏	XmUaE.XmUE	xue:xmue
普	UaKuK.UaKK	ukk:uakk
著	EBm.EBm	ebm
园	JdBdRd.JdBR	jbr:jdbr
欧	HOsRo.HORo	horo
存	GdIdYa.GdIY	giy:gdiy
尔	RKo.RKo	rko
罗	LkRs.LkRs	lkrs
達	WBUc.WBUc	buw:wbu:wbuc
占	IdJ.IdJ	idj
右	GdJ.GdJ	gdj
塔	BEOdAJ.BEAJ	beaj
税	MfUdJRd.MfJR	mu:muj:mfjr
幻	ZZsY.ZZY	zzy
食	Ox.Ox	ox
世	EaZ.EaZ	e:eaz
升	ME.ME	mev:mevv
含	OdAXJ.OdXJ	osj:osx:odxj
將	ZiRsDs.ZiRD	zrd:zird
架	YmJF.YmJF	yjf:ymjf
倍	NSuJ.NSJ	nsj
平	AUa.AUa	aua
直	EdLc.EdLc	elc:edlc
簿	MVFbDs.MVFD	mve:mvf:mvfd
級	ZYMS.ZYMS	zym:zyms
般	PyQx.PyQx	pq:pqx:pyqx
轻	HeXsBi.HeXB	hxb:hexb
云	BdZs.BdZs	bzz:bdzs
照	KYdJUo.KYJU	ky:kyju
魔	TgFFNj.TgFN	tfn:tgfn
搞	DSJLd.DSJL	dsjl
旧	IK.IK	ik:ikvv
油	VKia.VKia	vki:vkia
點	LkBUoIdJ.LkIJ	lbu:lkij
保	NJF.NJF	njf
印	RhAY.RhAY	ray:rhay
尼	XmRr.XmRr	xrr:xmrr
這	WS.WS	w:swvv:wsvv
刚	LdKd.LdKd	lkd:ldkd
圈	JdUbYyb.JdUY	juy:jduy
铃	POdW.POW	pow
韩	EdKEdBiY.EdBY	edby
亚	AKu.AKu	aku
依	NSRh.NSRh	nsr:nsrh
停	NSJWwAi.NSWA	nsw:nswa
坐	OdOdB.OdOB	oob:odob
抓	DPv.DPv	dpv
招	DYdJ.DYJ	dyj
旅	SyMaRh.SyMR	smr:symr
機	FZZHsOd.FZHO	fzho
厅	GgAi.GgAi	gai:ggai
唯	JNi.JNi	jni
落	EVRsJ.EVRJ	ev:evr:evrj
奥	NlUfGd.NlUG	nug:nlug
梅	FMaZy.FMZy	fmzy
様	FUcKv.FUKv	fukv
队	YOd.YOd	yod
選	WYyYyEaO.WYEO	wyy:wyeo:yybw
館	OxWdY.OxWY	owy:oxw:oxwy
意	SuKWz.SuKW	skw:sukw
球	CDVS.CDVS	cdv:cdvs
益	UaOLka.UaOL	oao:uol:uaol
跑	JiRy.JiRy	jir:jry:jiry
長	Ch.Ch	cha
叶	JEd.JEd	jed
哭	JJGdS.JJGS	jjgs
干	AEd.AEd	aed
病	T.T	ta
章	SuKEd.SuKE	ske:suke
