𠀔	AZOd
𠃤	RhANd	rhan, pred:③Nd.③Nd, rank:0',
𠄏	Y	yaa, pred:𠄏.𠄏, rank:0',
𠄓	NdZS	ndzs, pred:𠄓.𠄓, rank:0',
𠄔	YSXI	xsxi, pred:𠄔.𠄔, rank:0',
𠄙	AJIXb	aijx ajxb, pred:𠄙.𠄙, rank:0',
𠄣	BdRs	bdro bdrs, pred:Bd④.Bd④, rank:0',
𠄷	JJJQ	jjjq, pred:②②②Ld.②②②Ld ②②②MBdI.MBI, rank:0',
𠅁	SIA	sia, pred:S𠃎.S𠃎, rank:0',
𡰣	Xm
𠅘	SKdWwAi	skwa, pred:S④WwAi.SWAi, rank:0',
𠅙	SKdWwRd	skwr, pred:S④WwRd.SWRd, rank:0',
𠅢	SKdMh	skmh, pred:S④WwMHd.SWMH, rank:0',
𠅴	SXbZQdaB	sxqb, pred:S⑤YdaEdB.SYEB, rank:0',
𠆈	SYdUdRhLd	syrl, pred:SYdUdI③Ld.SYIL, rank:0',
𠆗	SYdUdRhLd	syaj, pred:SYdUdI③OdAJ.SYAJ, rank:0',
𠆜	SYdUdRhAXbZm	syxz, pred:SYdUdI③AXbZm.SYXZ, rank:0',
𠆭	OdBdZ	odbz, pred:OdAA①.OdAA, rank:0',
𠇇	NBiZS	nbzs, pred:N④.N④, rank:0',
𠇊	NRh	nrh, pred:N④.N④, rank:0',
𠈧	NIYXXs	nixx, pred:N④Xs.NXs, rank:0',
𠉙	OdAELd	odel, pred:OdA⑥.OdA, rank:0',
𠋰	NEhNdO	neno, pred:NEh④.NEh, rank:0',
𠌆	OdCHNdX	odhx odnx, pred:OdC⑥.OdC, rank:0',
𠌩	NTdCuQd	ntcq, pred:NTd⑥Qd.NTQd, rank:0',
𠍋	NSZsI	nszi, pred:N②ZsI.NZI, rank:0',
𠍑	NEZMXRs	nexr, pred:NEZM②Rs.NEMR, rank:0',
𠚒	ICIZBdZ
𠎜	IAOdW	iaow, pred:𠚒OdW.OdW, rank:0',
𬺻	Gq
𠏊	NAKO	nako, pred:NAUdGg④X.NAGX, rank:0',
𠐫	NMZmWWBiDs	nmbd, pred:NM②WwBiDs.NMBD, rank:0',
𠐲	NHJA	nhja, pred:NHmJA⑧.NHJA, rank:0',
𠑹	RdHX	rdhx, pred:𠑹.𠑹, rank:0',
𠑼	RhXRd	rhxr, pred:②XRd.XRd, rank:0',
𠑿	NBdGr	nbgr, pred:④Gr.④Gr, rank:0',
𠒂	RhXR	rhxr, pred:②XRd.XRd, rank:0',
𠒅	XHARd	xhar xhzr, pred:⑤Rd.⑤Rd, rank:0',
𠓳	OdaCHMAX	odax, pred:OdaC⑥.OdaC, rank:0',
𠔇	ONS	ons, pred:O②.O②, rank:0',
𠔐	BdKdO	bdko, pred:Bd④.Bd④, rank:0',
𠔰	ZsZsLdEbO	zseo, pred:ZsZs⑩.ZsZs, rank:0',
𠕄	IXAAIY	ixiy, pred:𠕄.𠕄, rank:0',
𠕲	LdAAAAAAAAAAAAIIII	ldii, pred:Ld⑤⑤⑤⑤.Ld⑤⑤⑤⑤, rank:0',
𠖁	WWWDs	wwwd, pred:Ww②Ds.WwDs, rank:0',
𠖣	WwIdJdOsBUo	wwbu, pred:WwIdJd④BUo.WwBU, rank:0',
𠖦	WwYzJdRsBBk	wwbb, pred:WwYzJd④BBk.WwBB, rank:0',
𮩴	CuE
𮍌	IXXX
𠘄	TdOdSXbZMo	tdxm, pred:TdOdS⑤Mo.TdSM, rank:0',
𠙖	TdCuQd	tdcq, pred:Td⑥Qd.TdQd, rank:0',
𠙚	CXMRsQd	cxrq, pred:⑥RsQd.RsQd, rank:0',
𠙧	NkNbXQd	nkxq, pred:③NkXQd.NkXQ, rank:0',
𠙴	Zs	zsaa, pred:𠙴.𠙴, rank:0',
𠙿	YIAIAZ	yiaz, pred:③AZi.AZi, rank:0',
𠚖	CZi	czi, pred:⑦C.⑦C, rank:0',
𠚜	PvNbZi	pvnz, pred:⑤PvNb.PvNb, rank:0',
𠚞	XHPvLoZi	pvhz xhlz, pred:⑤PvLo.PvLo, rank:0',
𠚟	MeJWdRsJZi	mejz, pred:MAJIWwRs③JZi.MAJZ, rank:0',
𠚡	PvNbZi	pvnz, pred:⑩PvNb.PvNb, rank:0',
𠝈	RhSYdQdBi	rhqb, pred:③YdQdBi.YdQB, rank:0',
𠝷	RzOYd	rzoy, pred:⑦OYd.OYd, rank:0',
𠟵	CXMGqKd	cxgk, pred:⑥GqKd.GqKd, rank:0',
𠡅	HIAYm	hiay, pred:④Ym.④Ym, rank:0',
𠢊	ANlWwOYm	anoy anry, pred:⑧OYm.OYm, rank:0',
𠢘	ANlWwGdYm	angy, pred:⑧GdYm.GdYm, rank:0',
𠢨	ANlWwOOdYm	anoy, pred:⑧UoYm.UoYm, rank:0',
𠢰	RKAZUoYm	rkuy, pred:RLdA②UoYm.RLUY, rank:0',
𠤛	RrIA	rria, pred:Rr⑥A.RrA, rank:0',
𠤞	RRKSWwAi	rraa rrwa rrxa, pred:RrK⑥.RrK, rank:0',
𠤬	YdaZ	ydaz, pred:𠤬.𠤬, rank:0',
𠤶	HSBiZ	hsbz, pred:HSBdI㇞.HSBI, rank:0',
𠤺	HMRhOd	hmro, pred:H⑥.H⑥, rank:0',
𢁺	PdEdYLd
𠥻	EA	eavv, pred:𠥻.𠥻, rank:0',
𠦁	XIEd	xied, pred:𠦁.𠦁, rank:0',
𬺷	Gq
𠦑	SETdS	sets, pred:𠦑.𠦑, rank:0',
𠦮	AZUoGdEd	azge, pred:②UoGdEd.UoGE, rank:0',
𠧘	IhMXs	ihmx, pred:Id②Xs.IdXs, rank:0',
𠨝	RhWzY	rhwy, pred:③WzY.WzY, rank:0',
𠨦	ANlWwQdBZsY	anzy, pred:⑧QdBZsY.QdZY, rank:0',
𠨷	GgAiZYda	ggzy, pred:GgA②Yda.GgAY, rank:0',
𠨸	GgRh	ggrh, pred:Gg④.Gg④, rank:0',
𠩄	GgSMMaI	ggmi, pred:Gg②RI.GgRI, rank:0',
𠩐	GgCZTd	ggzt, pred:Gg⑥.Gg⑥, rank:0',
𠩳	GgIhAYyb	ggay, pred:GgId②AYyb.GgAY, rank:0',
𠩿	GgKibEa	ggke, pred:Gg⑨.Gg⑨, rank:0'
𠪕	AKuGgXO	akko akxo, pred:AUdGg④X.AUGX, rank:0',
𠪳	GgJIINbZ	ggnz, pred:GgJIINbℓ.GgIN, rank:0',
𠫩	ZsJKo	zsjk, pred:Zs⑥.Zs⑥, rank:0',
𠬊	ZsVdZsGdPd	zsgp, pred:Zs③ZsGdPd.ZsGP, rank:0',
𠭊	NCXbXs	ncxx, pred:⑤XbXs.XbXs, rank:0',
𠭗	IhABdNdXs	ihnx, pred:Id②ABdNdXs.IdNX, rank:0',
𢑚	HIGgXb
𠭝	XmZiGgXs	xmgx, pred:⑥PdXs.PdXs, rank:0',
𠭭	NbAXIXs	nbix, pred:Nb②MXs.NbMX, rank:0',
𠮁	OsFsIYXXs	osxx, pred:OsFS④Xs.OsSX, rank:0',
𠮈	TgRROOdLXs	tglx, pred:S②HdOOdLXs.SHLX, rank:0',
𠮕	ANlWwIIXs	anix, pred:⑧IIXs.IIXs, rank:0',
𠯁	JUdS	jus, pred:J③.J③, rank:0',
𠯶	YzZJ	yzzj, pred:④J.④J, rank:0',
𠰇	JWwAZ	jwaz, pred:JWw②.JWw, rank:0',
𠰜	JMUa	jmua, pred:J⑤.J⑤, rank:0',
𠰟	YzAAAJ	yzaj, pred:Xb②J.XbJ, rank:0',
𠰡	JWdAZ	jwaz, pred:JWd②.JWd, rank:0',
𠳧	JIAXYC	jiyc, pred:J⑦.J⑦, rank:0',
𠴅	BdKoOdJ	bdoj, pred:Bd⑤J.BdJ, rank:0',
𠵢	JEaNdO	jbno, pred:JEa④.JEa, rank:0',
𠻏	JEhNdO	jeno, pred:JEh④.JEh, rank:0',
𠾃	SZiZiLd	szgj szzl, pred:𠾃.𠾃, rank:0',
𡁖	JKu	jku, pred:J⑥UaBdKo.JUBK, rank:0',
𡁘	JJKibEa	jjke, pred:JJ⑨.JJ, rank:0',
𡂦	BdJJLd	bdjl, pred:④JJLd.JJLd, rank:0',
𡂶	XBiJKkK	xbkk, pred:⑤JKKdK.JKKK, rank:0',
𡃬	SZiJJLd	szjl, pred:⑪Ld.⑪Ld, rank:0',
𡄀	JJELkE	jnle, pred:JNjELk𪜀.JNEL, rank:0',
𡅁	JSYdUdRhKF	jskf, pred:JSYdUdI③KF.JSKF, rank:0',
𡅟	SZiZiKKLd	szkl, pred:⑮Ld.⑮Ld, rank:0',
α	Z
𡆵	JdIAZYAI	jdai, pred:𡆵.𡆵, rank:0',
𡉈	DB	dbvv, pred:③B.③B, rank:0',
𡉡	ZsOdB	zsob, pred:B△Od.BOd, rank:0',
𡉢	UdXsB	udxb, pred:②XsB.XsB, rank:0',
𡊐	BIXAIY	biiy, pred:B④.B④, rank:0',
𡋬	AZUoB	azub, pred:②UoB.UoB, rank:0',
𡎓	BBVdVd	bbvv bvbv, pred:BB③③.BB B③B③.BB, rank:0',
𡐍	IdGgGXsB	idxb, pred:Id②GXsB.IdXB, rank:0',
𡒴	MXbIXbGqB	mxgb nxgb, pred:⑧GqB.GqB, rank:0',
𡔝	BXM	bxm, pred:B⑤.B⑤, rank:0',
𡔲	BJIA	bjia, pred:BJ⑥A.BJA, rank:0',
𡔳	BWwIA	bwia, pred:BWwA⑥A.BWAA, rank:0',
𡔾	BWWIA	bwia, pred:BWwAJ⑥A.BWJA, rank:0',
𡕂	BJIA	bjia, pred:BJ⑥AOsZi.BJOZ, rank:0',
𡕈	BJIA	bjia, pred:BJ⑥AJdOs.BJJO, rank:0',
𡕍	BJIA	bjia, pred:BJ⑥ABJ.BJBJ, rank:0',
𠕆	GdQ
𤋈	IdAIdMoUo
𠔃	UaZ
𠃾	LdOsOsOsOsZ
𠄮	BdZZsZZs
𥈠	IdXMAOOdL
䐡	SYdUdRhLdOdOd
疈	AJKiUdAJKi
冎	LdLd
慿	TCudEW
韲	SYdUdRhKcA
樧	FOsFSQx
圱	MgB
墨	LkBUoB
癩	TFJYdLo
孓	YS
廛	TgKBOB
眔	LkKv
彗	CiCiXb
㒸	UdGq
唐	TgXbJ
犮	GdXsS
亟	YJXsA
䍃	PvMaEdZi
夋	ZsORs
刃	YdS
靑	CiQ
詹	RGgOS
謠	SRsMaEdZiW
瑤	CRsMaEdZiW
遙	RsMaEdZiW
搖	DRsMaEdZi
永	Sk
氐	RhS
㰓	FHMaLo
䛓	KdMaS
䮉	CuMaRh
䏛	QRyTd
䏮	QYmV
㧛	KdMaMd
㦱	AHmB
㛎	ZmJJ
䦄	PFkRh
䏑	RsLdOdOd
㭚	FMaRh
䑮	PyQf
㚬	ZmRyTd	disagree
㯟	FFXmKv
㢳	YzMaRh
㢴	YzJdOsS
㟗	OYmOYmLl
㙿	BUcMfHmYm
檻	FHMaLka
㇉	Z
㥑	ANlWwWz
㰜	FEdLOGo
㣇	ZmOdLi
㷼	EaTiJRrUo
䄗	WsNd
㦰	OdOdHm
㚑	XbGd
㠗	LlNjUfGd
㬪	KKWwZm
㞑	XmVZ
㜩	ZmNjUfGd
㦲	EhYm
㢤	EdHsYm
䆋	MfRWz
䒳	EQdF
𠔥	UaXbUo
䄞	WsRsBk
𬀽	KAEbBi
㸔	MUdGdL
䘮	EdOsOsH
奉	CoBi
䧭	YNjOsWz
䄖	WsOdAQKd
㔐	MBdKcKd
㕚	XsSS
䘵	WtXmKv	where is WtZmKv
䴪	TxWsXmKv
㱏	BdIi
㠪	BiA
䃼	WsId
㠩	OdZNd
䂖	GJS
㥁	EdLkZWz
㴦	VWwJJ	disagree
䑓	EcWwHb
䝉	KuWwGq
䄣	WsBLkLo
㔺	EdHEd
㨗	DIdXbIi
㸃	LkBIdJUo
㼂	NbAZICs
䚻	RsS
㵮	VGdEe
兦	OdaZ
熍	UoWdJJ
𠯚	JANd
匓	RyXsQx
𡚇	LkIAZLkGd
繭	ELd
𢌳	RsE
嬍	ZmLlACMo
斵	RhYdBzPd
繤	ELGdZ
鼀	BoWx
梥	WoZsF
鯗	UcR
𫒀	NjPfAZ
鎫	PNLdORs
斵	RhBzPd
䋰	LcOZ
炿	UoPyS
鍳	HMaP
嬊	EaTiJRrZm
軣	FkV
𢇍	ZZsZZsAZZsZZsAI
玈	SZZsMaRh
卥	IdJdOsS
佱	OdBdIi
鬛	ChJdOsZd
氎	KiKiKiWWRsAMh	disagree
㡣	SUdWwLiAZYZC	difficult
壭	BY
丳	JJNd
𡕖	RsBi
栆	EdJOdTd
祣	WsMaRh
詧	RsS
𣅔	KZAS
媫	ZmIdXhIi
奍	UbNd
簔	MSAERh
摉	DWwOORs
𠑷	IdGr
胤	RdZZsQ
舃	NbAZUo
卄	E
鷰	EaTiJRrRz
偼	NIdXbIi
𣅀	SK
蕐	EAOdOdOdOdBi
臮	NlNOO
𭂫	MQda
龜	RWz
㇓	M
𠫓	SZs	consistent?
莵	EMJRdS
夀	BiXJIAJDs
裊	RzSRh
𠦂	VEd
𩰬	AJMbLd
乕	PdBLi
兠	TiNkRrRd
𠕋	LdBi
凾	YJXsZi
亷	SuMXb
刋	MGdKd	:/
揷	DMeNb
羋	IAIdBi
乆	ZOd
澂	VLlACMo	disagree
帇	XbLi
芈	IAIdBi
亣	SNd
冑	KiaQ
廄	TgXoQx
玍	MAB
豳	GqGqLl
氘	MyNd
甴	Kia
曱	Kib
皐	NkVEd
刄	YdS
疖	TY
埓	BPvDs	shld be BPvMDs
裦	SRhXsXIMRh
襃	SRhJFRh
褏	SRhKiaRh
褎	SRhMfRh
疟	TH
髙	SKdLd
畱	AKdHXKi
豋	RsAJUa
凼	KvZi
啬	EdUaJdJ
倶	NLAO
𠂡	QdBi
埀	MeTiRrB
畵	XbKiZi
悳	EdLZWz
袅	RzSRh
臽	RNb
輿	NbFkO
丗	Ea
𠂔	MZIM
覧	HMLr
彧	HmJA
畿	ZZsZZsHmKi
兀	Gr
夔	UaIiNlYybORs
塁	KiVB
摂	DCeV
郎	SXoY
瘪	TNlOdRr
䖝	MI
渋	VIiV
羲	UcMfAZHm
𠚍	OsZi
弐	AHsBd
尐	KoS
凿	KuUbZi
歯	IiUfZi
養	UcSXo
凷	BZi
鐵	PEhJC	disagree, shld be JMB
幽	ZZmZZmLl
凶	OsZi
画	AKiZi
臧	HmZiH
囧	JdOLd
膏	SJWwJQ
那	YBY
击	BiZi
𡕩	NjOsORs
容	WoOJ
燕	EaTiJRrUo
坴	BOB
周	LdBJ
呈	JC	trad JMb
沒	VYXs	imo VRyXs
歿	ARsYXs	imo ARsRyXs
覽	HMLkLr
喪	EdJJH
巤	ZdJdOsZd
𤔔	PvXsLd
兎	MJRdS
亐	BdZ	BdZA
霊	FvBdKu
郷	ZZXoY
壺	BWwIA
帰	UdXbWwLi
庚	TgXOd
玉	Cs
脊	VOdQ
粵	NjPfAZ
丧	EdUdH
韱	OdOdHmKcA
畺	CdKiKi
舉	NbAZOBd
犀	XmKvMb
氷	SKv
焉	AIiZUo
卿	RhXoY
眾	LkNOdOd
辨	SeUdSe
傘	OdOdOdOdOdEd
灣	VZsYz
𠬤	XsBi
𫂱	NdUf
奧	NlPfGd
劉	RhYdPKd
吳	JZGd
𠃑	Z
函	XKvZi	//or ZiXKv
彔	ZmKv
奐	RLdG
刅	YdO
𩵋	RGd
衰	SKRh
举	VdAOBi
羮	UcUoCiOd
秉	MfXb
𠧗	IdBdId
丽	ALdLd
兯	UdY
尨	Gm
鹿	Tx
𫠠	Hd
产	SuM	SuG
齊	SYdUdRhNd
曹	EKkK
爭	PvXb
屮	Zi
樕	FFJRo
敕	FJMo
束	FJ
㡀	KvLd
丮	YdaBi
妻	AXbZm
𫠤	CiYm	BiSy?
監	HMLka
临	KdMK
鬲	AJLd	:/
览	KdMLo
了	Y
晉	BdZsZsK
亘	BdK
𪺍	PvXb
𤰇	EbMLd
兜	RhNkXR
楽	VNkF
呂	JNj
鉴	KdMP
ユ	X
値	NZEdL
𨸏	My
𦥑	Nb
𥫗	M
𣦶	AZM
𣫬	ZyE
𠘧	Qd
𠘨	Qd
𠒎	RzRd
𠄌	Z
𠃋	Z
龜	MWx
㱐	BdIiS
㒫	AIiBr
㐧	SXIM
䍏	LdKdA
㸦	HiS
㳤	VSESS
鵖	XoRz
戼	XHIX
臦	XIIH
枾	FEdNd
襾	Fj
𠁁	Bz
コ	X
夨	ZAS
卌	E
崋	LlEBi
赱	BUS
𤴔	XIi
凫	RzQd
鳬	RzQd
雋	NiIY
戞	ANlWwHm
枭	RzF
梟	RzF
壷	BWwKa
畢	KEBi
虛	IhKu
㐆	PdXY
𡬠	XoDs
亙	BdRs
郎	SXoY
貿	RhSYmLo
贸	RhSYmLo
严	AKM
甚	EcZ
帶	EaWwLi
岛	RzLl
島	RzLl
𠂎	RhM
華	EAEbBi
夹	BdUo
班	CUC
単	VdKEd
亏	BdZ
卫	YA
齐	SoNd
垂	MeEB
粤	NjUfAZ
屰	UaZi
义	SOs
养	UcNd
伞	OdUa
惠	FkWz
倉	OdXmJ
次	TdRo
典	LdEO
𫠣	HYO
令	OdW
良	SXo
𬎾	XbLd
彖	ZmGq
丽	ALdLd
夜	SNRs
並	UaKu
卑	NjEd
求	DVS
旅	SyMaRh
幾	ZZHsOd
船	PyQJ	debatable
乔	MGdNd
既	XoHRd
失	MbOd
并	UaE
存	GdIdYa
余	OdMf	debatable. OdAF more sensible?
叚	XbXXs
归	KdXb
屯	HdZi
丝	ZZZZA
囱	NjRs
段	NCQx
成	HmY
勺	RyS
帅	KdLi
具	LcO
坐	OdOdB
监	KdMLka
曾	UdLkK
㓁	WWO	following simp., debatable
留	RhYdKi
展	XmEaH
亍		always appears w/ 彳 Oi
𭥴	LkK
率	SVZEd
直	EdLc
無	MaEaUo
興	NbLdO
與	NbAZAIdO
舆	NbHeO
弗	YzNd
免	RJRd
介	OdNd
师	KdALd
𠮠	JYm
节	EY
兀	Gr
𠃌	Y
𠄎	Y
里	KB
啇	SULd	debatable
商	SULd	debatable
㐫	SOsZi	debatable
亥	SZOd
面	GJKd	seems wrong
后	PdAJ
所	PdXmPd
前	UAQKd
出	ZiZi
我	MdHm
来	BdKv
夫	BdOd
單	JJKEd
夰	GdNd
𠣞	RyFk
曲	KKd
韦	BiY
𤓰	PdZs
疌	AXbIi
世	EaZ
㐁	AJOd
民	YybHd
西	FJ
朿	FLd
𫝀	X	RZXM alone?
㇇	X
曳	KZM
肅	XbNd
粛	XbNdUf
肃	XbNdO
隶	XbKv
熏	MeLkBUo
角	RLd
发	ZMXsS
禹	MILd
曱	Kib
𠀑	ALdRd
卑	NjEd
𡯁	GdYda
𡗤	AGdNd
幵	AGdAEd	or AEdAEd
羽	YtYt
赤	BNdO
丂	AZ
旡	HRd
佥	OdBdVd
承	XKvCd
𢎜	Yz
畐	AJKi
此	IiRr
首	UaNl
正	AIi
𥘅	AIdNd
旁	SuWwSyi
圭	BB
去	BZs
缶	MaEdZi
丨	I
亅	I
貮	AHsLo
武	AHsIi
黑	LkBUo
天	AGd
𠮛	AJ
司	YAJ
上	IdA
下	AId
可	AiJ
开	AE
历	GgYm
末	AF
兰	UaBd
朱	MbKo
巠	HdBi
壴	BJU
亇	RI
及	YMS
爲	PvMXYUo
为	UdYS
為	UdXYUo
將	ZiRsDs
奥	NlUfGd
匁	RyMS
南	EdLd
反	PdXs
卡	IdAId
单	UdKEd
勿	RyOd
主	SC
亓	BdNd
𦮄	EJdRdA
元	BdRd
本	FA
犬	GdS
斗	TdEd
飛	YdaTdYdaTdANd
飞	YdaTd
乄	ZS
肉	LdOdOd
谷	OOJ
華	EAE
者	BmS
才	DM
彑	Zm
干	AEd
巨	HX
尺	XmS
头	TdGd
央	LdGd
亊	DUdXb
事	DJXb
井	BdNd
亜	BdJKd
兂	HRd
兆	VRd
冘	WwRd
凸	IAYA
凹	IYXA
卍	YIdAId
卐	ZAIdA
卝	IAId
史	JOs
禺	KLdZs
豆	AJUa
⺊	Id
囗	Jd
未	BdKo
囬	JdKd
一	A
丁	Ai
丐	AIZ
丏	AIZY
丈	AOs
丣	ANdHX
土	B
士	B
二	Bd
专	BdZS
示	Bk
工	Bi
走	Bo
者	Bm
耂	Bm
亞	Bz
王	C
𤣩	C
三	Cd
丰	Ci
耒	Ck
春	Co
𡗗	Co
耳	Ce
镸	Ch
髟	Ch
長	Ch
长	Ch
鬥	Cc
馬	Cu
龶	Ci
豐	Ci
扌	D
寸	Ds
于	AD
艹	E
廾	E
十	Ed
𬂛	Ed
栽	Eh
𢦏	Eh
廿	Ea
龷	Ea
甘	Eb
𠀎	Eb
其	Ec
革	Ee
木	F
朩	F
𣎳	F
酉	Fd
甫	Fb
雨	Fv
車	Fk
車	Fk	dupe?
專	FkDs
西	Fj
覀	Fj
在	GdIdB
石	G
丆	G	Gd	why
大	Gd
𠂇	Gd
厂	Gg
辰	Gh
不	Gi
而	Gl
页	Go
頁	Go
豕	Gq
乑	Gq
𧰨	Gq
尤	Gr
尢	Gr
龙	Gm
象	RJGq
衆	MLkaGq
𦣞	H
𦣝	H
臣	H
匚	H
匸	H
𠥓	H
七	Hd
坙	HdB
东	HdKo
牙	Hi
至	Hb
车	He
弋	Hs
𭠍	Hm
戈	Hm
戊	Hm
戋	Hm
㦮	Hm
畏	KiH
戉	HmZ
虫	I
蟲	I
卜	Id
止	Ii
龰	Ii
疋	XIi
齒	Io
齿	Io
虍	Ih
虎	Ih
虐	IhH
中	JI
口	J
㇣	J
因	Jd
足	Ji
𧾷	Ji
日	K
曰	K
刂	Kd
田	Ki
由	Kia
甲	Kib
申	Kic
非	Kc
业	Ku
小	Ko
𡭔	Ko
⺌	Ko
𣥂	Ko
水	Kv
氺	Kv
婁	KjZm
〢	Kd
東	FK
目	L
冂	Ld
四	Lk
罒	Lk
皿	Lka
巾	Li
山	Ll
且	Lc
见	Lr
見	Lr
贝	Lo
貝	Lo
骨	Lw
咼	Lj
柬	FLk
丷	Ud
䒑	Ua
冉	LdB
冊	LdE
丿	M
竽	MAd
年	MaMb
𠂉	Ma
矢	Ma
𠂒	Mb
牛	Mb
牜	Mb
㐄	Mb
生	Mc
手	Md
乗	MfEa
气	My
氣	My
毛	Mh
舌	Mi
乍	MaId
禾	Mf
攵	Mo
竹	M	individually shld b MaMi
告	MbJ
叏	MbXs
龵	Md
重	MeKB
亻	N
川	Nd
𫶧	Nd
丌	ANd
斉	SoNd
𣶒	Nd
片	Nx
隹	Ni
白	Nk
自	Nl
身	Nc
臼	Nb
鬼	Nj
州	VdNd
鼎	LZiNx
向	NlJ
𦥯	NbOs
𦥔	Nb
叟	NbXs
囟	NjOs
八	O
人	Od
𠆢	Od
入	Oda
𠃓	YOd
彺	OiC
行	Oi
彳	Oi
㐅	Os
乂	Os
𠂭	Os
食	Ox
飠	Ox
𩙿	Ox
饣	Ox
囪	NjOs
鹵	IdJdOs
釒	P
金	P
钅	P
斤	Pd
𠂆	Pd
彡	Pd
丘	Pda
爪	Pv
爫	Pv
瓜	Ps
舟	Py
釆	Pf
豸	Pq
乒	PdAM
月	Q
⺼	Q
丹	QS
几	Qd
凡	Qda
犭	Qm
殳	Qx
九	Qy
風	Qi
册	QQA
丸	QyS
多	RsRs
𠂊	R
鱼	R
魚	R
夕	Rs
夊	Rs
欠	Ro
包	Ry
勹	Ry
匃	Ry
鸟	Rz
鳥	Rz
乌	Rza
烏	Rza
匕	Rr
𠤎	Rr
氏	Rh
夂	Rs
炙	RsUo
然	RsGdSUo
祭	RsBk
久	RS
比	RrRr
乐	RhKo
卬	RhY
印	RhAY
𠂢	PdRh
𧘇	Rh
言	S
訁	S
讠	S
丶	S
亠	S
文	So
方	Sy	Syi?
立	Su
辛	Se
亡	Sh
龍	Si
栾	SkF
疒	T
病	T
冫	Td
广	Tg
廣	Tg
鹿	Tx
丬	Ti
门	Tl
⺀	Td
廌	TxZUo
北	TiRr
忄	U
㣺	U
关	UaGd
半	Ub
𢆉	Ub
龹	Ub
𠔉	Ub
羊	Uc
𦍌	Uc
米	Uf
火	Uo
灬	Uo
平	AUa
乎	MUa
差	UcBi
氵	V
𭕄	Vd
辶	W
之	W
定	Wd
宀	Wd
戶	Wm
户	Wm
礻	Ws
衤	Wt
心	Wz
冖	Ww
穴	Wo
黽	Wx
龜	MWx
马	X
乛	X
𠃍	X
肀	Xb
𦘒	Xb
聿	XbBd
門	Xd
尸	Xm
尹	Xma
彐	Xb
艮	Xo
兼	UaXk
